Palabra A	Palabra B	Calificación de la relación (0-4)	Observaciones 
ts'u'uy	waaj	3	
pa'ataj	yuk'o'obi'	0	
xíiw	díinosaurio	2	
chuuy	menkáa	1	
pa'ataj	cha'antej	1	
ja'	uk'be'en	3	
lak'in	ketajubáaj	0	
chik'in	poniente	4	
ko'olel	p'áatiko'	1	
óok'ot	xotobo'ob	0	
k'aay	kbiinbal	0	
xíiw	páastiyailo'	0	
uj	ye'esaje'	1	
kaaj	mu'uk'ankúunsa'al	1	
peek'	waalak'	4	
máak	ooltik	0	
lu'um	tíita'al	2	
ko'olel	xiib	4	
chichan	wíits'in	3	
ja'	xáache'eta'al	1	
ya'ax	wíits'ino'ob	0	
kaaj	ts'íibtabech	0	
pak'ach	jyáanlaj	0	
kéej	síiaj	1	
ajmeyaj	kajil	1	
xíiw	jalachilo'ob	0	
ts'aak	ye'esa	2	
k'aas	síijecho'	0	
kéej	taakt	0	
k'áax	chichnile'	1	
lu'um	pepek'cha'abtal	2	
uj	áastronautaobe'	3	
k'aaba'	kóon	2	
ch'úupal	kanmaj	1	
winik	k'asapi	2	
ts'íib	k'a'aytajil	0	
xa'ak'	juch'k	1	
ma'alo'	béendisyoon	3	
paakat	wak'aj	0	
ch'i'ibal	suutul	0	
xa'ak'	k'ut	1	
na'at	na'ateche'	4	
ik'al	ch'ino'ob	0	
winik	súujk'a'atik	0	
k'a'ajsaj	beetaj	1	
páak	eskweela'a	0	
chichan	síijo'obo'	1	
meyaj	kaláanta'al	1	
janal	meentiko'ob	1	
xi'ipal	náachkunsikubáajo'ob	1	
che'	naaklila'	1	
beej	coche	4	
winik	ya'ala'a	1	
boox	t'o'olchajal	0	
páak	kool	4	
ch'úupal	panch'éelo'	0	
kúuchil	báaxalo'	3	
janal	wu'ulabtubáaj	0	
ya'ax	séektretaaroil	0	
pak'ach	móolino	1	
xi'ipal	oorganóos	0	
k'aaba'	patk'aaba'obi' 	4	
noojol	baantai	4	
ch'úupal	winiko'ob	4	
paakat	jelsubaj	1	
wenel	jp'áate'ex	1	
kúuchil	síinike'	1	
chak	k'áankab	3	
máak	áalkansaarte'	1	
na'at	xak'altukultik	3	
ka'ansaj	yóoxtéenil	0	
che'	ch'a'akal	3	
ik'al	úuchuke'	2	
ik'al	chak	3	
na'at	maayáaj	1	
sak	k'aanil	0	
ik'al	ts'o'ots'ona'ab	0	
ya'ax	k'an	4	
k'iin	k'aaba'on	4	
wenel	kóokayo'obe'	0	
pak'ach	soob	1	
sak	peet	4	
beej	enkaminaarto'	4	
paakat	bíitaminas	1	
chuuy	áaora	0	
ch'i'ibal	cha'antajo'ob	0	
uj	bisa'abij	0	
ka'ansaj	íinjenieryai'	1	
k'iin	sabado	4	
chak	bojonja'	4	
