Palabra A	Palabra B	Calificación de la relación (0-4)	Observaciones 
uj	áastronautaobe'	3	
chak	k'áankab	3	
chik'in	poniente	4	
ik'al	chak	3	Si guarda relación, sin embargo para que tenga un fuerte relación, deberia esta chak ik'al como es un ejercio creo que esto se escribio a proposito, 
uj	ye'esaje'	0	
janal	meentiko'ob	3	
k'iin	sabado	2	
ts'íib	k'a'aytajil	1	
xíiw	díinosaurio	1	
ma'alo'	béendisyoon	2	
meyaj	kaláanta'al	1	
lu'um	pepek'cha'abtal	2	
k'aaba'	kóon	1	
na'at	na'ateche'	4	
ja'	xáache'eta'al	0	
sak	k'aanil	3	
xa'ak'	juch'k	0	
janal	wu'ulabtubáaj	0	
pa'ataj	yuk'o'obi'	2	
che'	naaklila'	2	
chichan	wíits'in	3	
xíiw	jalachilo'ob	2	Depende del contexto (de si hace referencia a hierba o a la familia Xiu)
ka'ansaj	íinjenieryai'	3	
beej	coche	4	
chuuy	menkáa	0	
lak'in	ketajubáaj	0	
pak'ach	móolino	3	
kéej	taakt	0	
paakat	jelsubaj	0	
ch'úupal	kanmaj	0	
kúuchil	síinike'	2	
sak	peet	3	
ya'ax	k'an	4	
chak	bojonja'	3	
xa'ak'	k'ut	1	
páak	eskweela'a	0	
ch'úupal	panch'éelo'	0	
páak	kool	4	
óok'ot	xotobo'ob	0	
winik	súujk'a'atik	0	
xi'ipal	oorganóos	0	
ka'ansaj	yóoxtéenil	2	
ya'ax	séektretaaroil	0	
ts'aak	ye'esa	0	
ko'olel	p'áatiko'	3	
peek'	waalak'	3	
kúuchil	báaxalo'	3	
ik'al	ts'o'ots'ona'ab	0	
ch'i'ibal	cha'antajo'ob	2	
winik	k'asapi	0	
ajmeyaj	kajil	3	
xi'ipal	náachkunsikubáajo'ob	1	
chichan	síijo'obo'	1	
máak	ooltik	3	
uj	bisa'abij	0	
kaaj	ts'íibtabech	2	
ch'i'ibal	suutul	0	
k'áax	chichnile'	0	
ik'al	úuchuke'	0	
máak	áalkansaarte'	2	
paakat	bíitaminas	2	
che'	ch'a'akal	3	
chuuy	áaora	0	
k'a'ajsaj	beetaj	2	
k'aas	síijecho'	2	
pa'ataj	cha'antej	2	
winik	ya'ala'a	2	
beej	enkaminaarto'	3	
xíiw	páastiyailo'	0	
ja'	uk'be'en	3	
wenel	kóokayo'obe'	0	
k'aaba'	patk'aaba'obi' 	3	
pak'ach	soob	0	
ts'u'uy	waaj	3	
wenel	jp'áate'ex	2	
lu'um	tíita'al	3	
ik'al	ch'ino'ob	0	
kaaj	mu'uk'ankúunsa'al	2	
na'at	maayáaj	2	
k'aay	kbiinbal	2	
ko'olel	xiib	4	
na'at	xak'altukultik	4	
k'iin	k'aaba'on	2	
noojol	baantai	0	
pak'ach	jyáanlaj	0	
boox	t'o'olchajal	0	
ch'úupal	winiko'ob	4	
kéej	síiaj	2	
paakat	wak'aj	0	
ya'ax	wíits'ino'ob	0	
