Palabra A	Palabra B	Calificación de la relación (0-4)	Observaciones 
chak	bojonja'	4	
peek'	waalak'	3	
ya'ax	k'an	4	
xíiw	díinosaurio	2	
sak	k'aanil	3	k'anil porque se refiere a una conbinación de color por eso sería sak k'anil
chak	k'áankab	2	
ja'	uk'be'en	4	
ch'úupal	kanmaj	0	
ts'aak	ye'esa	2	ye'esaj
óok'ot	xotobo'ob	0	
kéej	taakt	0	
che'	ch'a'akal	2	
wenel	kóokayo'obe'	1	
kúuchil	báaxalo'	2	
beej	enkaminaarto'	4	Encaminar en lengua maya sería: u ye'esa'al uts beej
ts'íib	k'a'aytajil	3	
ka'ansaj	íinjenieryai'	2	yo haría un préstamo al español y quedaría: Ingenieríail 
beej	coche	2	
winik	súujk'a'atik	0	
k'iin	k'aaba'on	4	
chichan	wíits'in	3	
uj	áastronautaobe'	2	
ko'olel	p'áatiko'	1	
xa'ak'	k'ut	4	
ko'olel	xiib	4	
uj	ye'esaje'	2	
chik'in	poniente	2	
k'áax	chichnile'	1	
ja'	xáache'eta'al	0	
ma'alo'	béendisyoon	3	
k'aay	kbiinbal	1	
uj	bisa'abij	0	
janal	meentiko'ob	2	
pak'ach	soob	2	
k'aaba'	patk'aaba'obi' 	3	
páak	kool	4	
paakat	wak'aj	0	
pak'ach	móolino	3	Yo haría el préstamo al español molino
chichan	síijo'obo'	2	
xíiw	páastiyailo'	2	
ch'úupal	winiko'ob	4	
xa'ak'	juch'k	2	
ch'i'ibal	cha'antajo'ob	0	
sak	peet	4	
k'aas	síijecho'	0	
ts'u'uy	waaj	3	
kúuchil	síinike'	2	
ik'al	ts'o'ots'ona'ab	1	
lu'um	tíita'al	4	
wenel	jp'áate'ex	0	
paakat	bíitaminas	3	
ka'ansaj	yóoxtéenil	2	
ya'ax	séektretaaroil	0	
kéej	síiaj	0	
winik	ya'ala'a	3	ya'ala'al
na'at	na'ateche'	4	
janal	wu'ulabtubáaj	2	
che'	naaklila'	1	
páak	eskweela'a	2	
winik	k'asapi	3	
meyaj	kaláanta'al	1	
ch'úupal	panch'éelo'	0	
kaaj	ts'íibtabech	3	
ik'al	ch'ino'ob	0	
k'a'ajsaj	beetaj	2	
xi'ipal	náachkunsikubáajo'ob	2	
máak	áalkansaarte'	2	esa palabra yo lo diría chukpaxtej y no áakansaarte' porque existe la palabra en lengua maya. 
na'at	maayáaj	3	
xi'ipal	oorganóos	3	
lu'um	pepek'cha'abtal	0	
noojol	baantai	0	
pa'ataj	cha'antej	2	
lak'in	ketajubáaj	0	
boox	t'o'olchajal	0	
ya'ax	wíits'ino'ob	0	
ik'al	úuchuke'	2	
k'iin	sabado	3	
kaaj	mu'uk'ankúunsa'al	3	
k'aaba'	kóon	2	
na'at	xak'altukultik	3	
chuuy	menkáa	3	
pak'ach	jyáanlaj	2	
pa'ataj	yuk'o'obi'	0	
paakat	jelsubaj	2	
ajmeyaj	kajil	3	kaajil
xíiw	jalachilo'ob	0	
ch'i'ibal	suutul	0	
máak	ooltik	4	
chuuy	áaora	1	Esta palabra áaora,  yo diría en maya beorae'
ik'al	chak	4	
